Locus	depth.threshold	prop.cont.threshold	tag.threshold	motus.correct	pcr.correct	tag.correct	taxa.correct	motus.control.subtract	motus.control.remove
COI	1000	0.1	0.01	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
12S	1000	0.1	0.01	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
MiFishU	1000	0.1	0.01	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
MiFishDFO	1000	0.1	0.01	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
Royce	1000	0.1	0.01	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
MiMam	1000	0.1	0.01	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
16Schord	1000	0.1	0.01	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
dloopDL	1000	0.1	0.01	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
12SElas02	1000	0.1	0.01	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
12SMarVer1	1000	0.1	0.01	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
